Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
KNORR CUBE,,,,,,,,,,,,,,,,,,,,,
ROYCO CUBE,,,,,,,,,,,,,,,,,,,,,
ROYCO CHICKEN  12G,,,,,,,,,,,,,,,,,,,,,
ROYCO BEEF  12G,,,,,,,,,,,,,,,,,,,,,
KEN TOMATO SAUCE  400G,,,,,,,,,,,,,,,,,,,,,
OYO MCHUZI MIX 12G,,,,,,,,,,,,,,,,,,,,,
TOMATO PASTE 400G,,,,,,,,,,,,,,,,,,,,,
ROYCO BEEF  200G JARS,,,,,,,,,,,,,,,,,,,,,
ROYCO BEEF  70G  SACHETS,,,,,,,,,,,,,,,,,,,,,
TOMATO PASTE  50G SACHETS,,,,,,,,,,,,,,,,,,,,,
TOMATO PASTE  70G  SACHET,,,,,,,,,,,,,,,,,,,,,
KEVIAN TOMATO SAUCE 400G,,,,,,,,,,,,,,,,,,,,,
KENYLON T. PASTE  450G,,,,,,,,,,,,,,,,,,,,,
KENYLON T. PASTE  100G  SACHETS,,,,,,,,,,,,,,,,,,,,,
JAMAA BIG  800G,,,,,,,,,,,,,,,,,,,,,
JAMAA SMALL   800G,,,,,,,,,,,,,,,,,,,,,
MENENGAI 800G BAR,,,,,,,,,,,,,,,,,,,,,
MENENGAI 1KG BAR,,,,,,,,,,,,,,,,,,,,,
WHITE WASH BAR SMALL  800G BAR,,,,,,,,,,,,,,,,,,,,,
WHITE WASH  200G TAB,,,,,,,,,,,,,,,,,,,,,
WHITE WASH BAR BIG 800G BAR,,,,,,,,,,,,,,,,,,,,,
WHITE STAR 800G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT BAR  700G BAR,,,,,,,,,,,,,,,,,,,,,
GEISHA   225G,,,,,,,,,,,,,,,,,,,,,
GEISHA  100G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT  20G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT 40G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT  100G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT  200G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT  500G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT  1KG,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT TABLET 50G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT TABLET 80G,,,,,,,,,,,,,,,,,,,,,
SUNLIGHT TABLET  175G,,,,,,,,,,,,,,,,,,,,,
SAWA SOAP  250G PC,,,,,,,,,,,,,,,,,,,,,
SAWA SOAP  125G,,,,,,,,,,,,,,,,,,,,,
FLAMINGO SOAP  90G,,,,,,,,,,,,,,,,,,,,,
FLAMINGO SOAP  215G,,,,,,,,,,,,,,,,,,,,,
POPCO SOAP  600G,,,,,,,,,,,,,,,,,,,,,
ARIEL 45G*12,,,,,,,,,,,,,,,,,,,,,
ARIEL 100G*12,,,,,,,,,,,,,,,,,,,,,
ARIEL  200G*12,,,,,,,,,,,,,,,,,,,,,
ARIEL 500G,,,,,,,,,,,,,,,,,,,,,
ARIEL 1KG,,,,,,,,,,,,,,,,,,,,,
OMO 22G,,,,,,,,,,,,,,,,,,,,,
OMO  45G,,,,,,,,,,,,,,,,,,,,,
OMO  100G,,,,,,,,,,,,,,,,,,,,,
OMO  200G,,,,,,,,,,,,,,,,,,,,,
OMO 500G,,,,,,,,,,,,,,,,,,,,,
OMO 1KG,,,,,,,,,,,,,,,,,,,,,
USHINDI 175G,,,,,,,,,,,,,,,,,,,,,
USHINDI SACHET 25G,,,,,,,,,,,,,,,,,,,,,
USHINDI POWDER 200G,,,,,,,,,,,,,,,,,,,,,
TOPEX BLEACH  70ML,,,,,,,,,,,,,,,,,,,,,
TOPEX  250ML,,,,,,,,,,,,,,,,,,,,,
BLUE BAND 30G,,,,,,,,,,,,,,,,,,,,,
BLUE BAND 100G,,,,,,,,,,,,,,,,,,,,,
BLUE BAND 300G,,,,,,,,,,,,,,,,,,,,,
BLUE BAND 500G,,,,,,,,,,,,,,,,,,,,,
BLUE BAND CREAM 500G PC,,,,,,,,,,,,,,,,,,,,,
BLUE BAND  1KG*,,,,,,,,,,,,,,,,,,,,,
ZESTA JAM 500G,,,,,,,,,,,,,,,,,,,,,
ZESTZ JAM 300G,,,,,,,,,,,,,,,,,,,,,
ZESTA JAM  100G,,,,,,,,,,,,,,,,,,,,,
ZESTA JAM 200G,,,,,,,,,,,,,,,,,,,,,
CHAPA MANDAZI,,,,,,,,,,,,,,,,,,,,,
BAKING POWDER,,,,,,,,,,,,,,,,,,,,,
MOSQUITO COIL,,,,,,,,,,,,,,,,,,,,,
STRAW,,,,,,,,,,,,,,,,,,,,,
GOLDEN LION,,,,,,,,,,,,,,,,,,,,,
STOVE WICK SMALL,,,,,,,,,,,,,,,,,,,,,
EXERCISE BOOKS 32 pages,,,,,,,,,,,,,,,,,,,,,
GILLETTE,,,,,,,,,,,,,,,,,,,,,
NACET,,,,,,,,,,,,,,,,,,,,,
TREET 11 R/Y,,,,,,,,,,,,,,,,,,,,,
SKINMATE CARD,,,,,,,,,,,,,,,,,,,,,
STOVE WICK BIG,,,,,,,,,,,,,,,,,,,,,
EVEREADY AA RED,,,,,,,,,,,,,,,,,,,,,
EVEREADY AAA RED,,,,,,,,,,,,,,,,,,,,,
EMPTY JERICAN 20 LTRS,,,,,,,,,,,,,,,,,,,,,
HANDKERCHIEF,,,,,,,,,,,,,,,,,,,,,
SUPER GLUE 10G,,,,,,,,,,,,,,,,,,,,,
SUPER GLUE 2G,,,,,,,,,,,,,,,,,,,,,
SUMO CANDLE,,,,,,,,,,,,,,,,,,,,,
HOMELIGHT CANDLES,,,,,,,,,,,,,,,,,,,,,
UFUTA 3LTR,,,,,,,,,,,,,,,,,,,,,
UFUTA 2LTR,,,,,,,,,,,,,,,,,,,,,
UFUTA 1LTR,,,,,,,,,,,,,,,,,,,,,
TILLY WHITE 10KG FAT CAN,,,,,,,,,,,,,,,,,,,,,
SEAGUL,,,,,,,,,,,,,,,,,,,,,
SALIT 20LTRS JERICAN,,,,,,,,,,,,,,,,,,,,,
RINA OIL 10 LTR JERICAN,,,,,,,,,,,,,,,,,,,,,
RINA OIL 5LTR JAR,,,,,,,,,,,,,,,,,,,,,
RINA OIL 3LTR JAR,,,,,,,,,,,,,,,,,,,,,
RINA OIL 2LTR JAR,,,,,,,,,,,,,,,,,,,,,
RINA OIL 1LTR JAR,,,,,,,,,,,,,,,,,,,,,
RINA OIL 500ML JAR,,,,,,,,,,,,,,,,,,,,,
RINA OIL 300ML  JAR,,,,,,,,,,,,,,,,,,,,,
PIKA 20LTR  GM,,,,,,,,,,,,,,,,,,,,,
KASUKU 500G,,,,,,,,,,,,,,,,,,,,,
KASUKU 250G,,,,,,,,,,,,,,,,,,,,,
KASUKU  100G,,,,,,,,,,,,,,,,,,,,,
KASUKU 50G,,,,,,,,,,,,,,,,,,,,,
HALISI OIL 20 LTR JERICAN,,,,,,,,,,,,,,,,,,,,,
HALISI OIL 10 LTR JERICAN,,,,,,,,,,,,,,,,,,,,,
FRY MATE 5KG,,,,,,,,,,,,,,,,,,,,,
FRY MATE 10KG,,,,,,,,,,,,,,,,,,,,,
FRESH FRI 5LTR,,,,,,,,,,,,,,,,,,,,,
FRESH FRI 5LTR JAR,,,,,,,,,,,,,,,,,,,,,
FRESH FRI 3LTR,,,,,,,,,,,,,,,,,,,,,
FRESH FRI 3LTR JAR,,,,,,,,,,,,,,,,,,,,,
FRESH FRI 2LTR,,,,,,,,,,,,,,,,,,,,,
FRESH FRI 2LTR JAR,,,,,,,,,,,,,,,,,,,,,
FRESH FRI 1LTR,,,,,,,,,,,,,,,,,,,,,
FRESH FRI 500ML,,,,,,,,,,,,,,,,,,,,,
FRESH FRI 250ML,,,,,,,,,,,,,,,,,,,,,
ELIANTO 3LTR,,,,,,,,,,,,,,,,,,,,,
PHILIPS BULB 100W,,,,,,,,,,,,,,,,,,,,,
PHILIPS BULB  60W,,,,,,,,,,,,,,,,,,,,,
DRAGON MHS 10,,,,,,,,,,,,,,,,,,,,,
DRAGON 2U,,,,,,,,,,,,,,,,,,,,,
DRAGON 3U,,,,,,,,,,,,,,,,,,,,,
KEN SALT 200G,,,,,,,,,,,,,,,,,,,,,
KEN SALT 500G,,,,,,,,,,,,,,,,,,,,,
KEN SALT 1KG,,,,,,,,,,,,,,,,,,,,,
KEN SALT 2KG,,,,,,,,,,,,,,,,,,,,,
GLUCOSE,,,,,,,,,,,,,,,,,,,,,
ENERGADE GLUCOSE 50G,,,,,,,,,,,,,,,,,,,,,
LUCOZADE  250ML,,,,,,,,,,,,,,,,,,,,,
LUCOZADE BOTTLED  600ML,,,,,,,,,,,,,,,,,,,,,
LUCOZADE BOTTLED 300ML,,,,,,,,,,,,,,,,,,,,,
RHINO KUBWA,,,,,,,,,,,,,,,,,,,,,
RHINO NDOGO,,,,,,,,,,,,,,,,,,,,,
AIR SCENT 200ML,,,,,,,,,,,,,,,,,,,,,
BELLA JUMBO TISSUE,,,,,,,,,,,,,,,,,,,,,
BELLA TISSUE,,,,,,,,,,,,,,,,,,,,,
DAWN JUMBO,,,,,,,,,,,,,,,,,,,,,
HANAN TISSUE,,,,,,,,,,,,,,,,,,,,,
LUCAO,,,,,,,,,,,,,,,,,,,,,
NICE EFFECT TISSUE,,,,,,,,,,,,,,,,,,,,,
PEKEE,,,,,,,,,,,,,,,,,,,,,
TOILEX,,,,,,,,,,,,,,,,,,,,,
TULIP,,,,,,,,,,,,,,,,,,,,,
ARIMIS 50G,,,,,,,,,,,,,,,,,,,,,
BABY CARE  55G,,,,,,,,,,,,,,,,,,,,,
BABY CARE 100G,,,,,,,,,,,,,,,,,,,,,
FAIR AND LOVELY CREAM 9G,,,,,,,,,,,,,,,,,,,,,
GLYCERINE  30ML,,,,,,,,,,,,,,,,,,,,,
GLYCERINE  50ML,,,,,,,,,,,,,,,,,,,,,
JOHNSON B/JELLY PURE 100ML,,,,,,,,,,,,,,,,,,,,,
JOHNSON B/JELLY SCENTED 100ML,,,,,,,,,,,,,,,,,,,,,
JOHNSON B/OIL 50ML,,,,,,,,,,,,,,,,,,,,,
JOHNSON B/POWDER 50G,,,,,,,,,,,,,,,,,,,,,
JOHNSON B/SOAP LOTION 100G,,,,,,,,,,,,,,,,,,,,,
JOHNSON B/SOAP REGULAR 100G,,,,,,,,,,,,,,,,,,,,,
VALON BLUE 25G,,,,,,,,,,,,,,,,,,,,,
VALON BLUE  50G,,,,,,,,,,,,,,,,,,,,,
VALON BLUE  100G,,,,,,,,,,,,,,,,,,,,,
VALON BLUE 200G,,,,,,,,,,,,,,,,,,,,,
VALON GREEN 25G,,,,,,,,,,,,,,,,,,,,,
VALON GREEN 50G,,,,,,,,,,,,,,,,,,,,,
VASELINE 25ML,,,,,,,,,,,,,,,,,,,,,
VASELINE 50ML,,,,,,,,,,,,,,,,,,,,,
VASELINE 100ML,,,,,,,,,,,,,,,,,,,,,
VASELINE 250ML PC,,,,,,,,,,,,,,,,,,,,,
VENUS BODY LOTION 100ML,,,,,,,,,,,,,,,,,,,,,
SAFARICOM 100SH,,,,,,,,,,,,,,,,,,,,,
SAFARICOM 50SH,,,,,,,,,,,,,,,,,,,,,
SAFARICOM 20SH,,,,,,,,,,,,,,,,,,,,,
AIRTEL 100SH CARD,,,,,,,,,,,,,,,,,,,,,
AIRTEL 50SH,,,,,,,,,,,,,,,,,,,,,
AIRTEL 20SH,,,,,,,,,,,,,,,,,,,,,
AIRTEL10SH,,,,,,,,,,,,,,,,,,,,,
KIWI 15ML,,,,,,,,,,,,,,,,,,,,,
KIWI 25ML,,,,,,,,,,,,,,,,,,,,,
KIWI 40ML,,,,,,,,,,,,,,,,,,,,,
KIWI DACTAN 15ML,,,,,,,,,,,,,,,,,,,,,
KIWI  100ML,,,,,,,,,,,,,,,,,,,,,
ALWAYS,,,,,,,,,,,,,,,,,,,,,
ALWAYS MAXI,,,,,,,,,,,,,,,,,,,,,
ALWAYS TWIN PACK,,,,,,,,,,,,,,,,,,,,,
BABY JOY DIAPERS,,,,,,,,,,,,,,,,,,,,,
BOUNCY DIAPERS,,,,,,,,,,,,,,,,,,,,,
HAPPY KID H/C,,,,,,,,,,,,,,,,,,,,,
HAPPY KID L/C,,,,,,,,,,,,,,,,,,,,,
PAMPERS H/C,,,,,,,,,,,,,,,,,,,,,
PAMPERS H/C MAXI,,,,,,,,,,,,,,,,,,,,,
PAMPERS JUNIOR,,,,,,,,,,,,,,,,,,,,,
PAMPERS MAXI,,,,,,,,,,,,,,,,,,,,,
PAMPERS MIDI,,,,,,,,,,,,,,,,,,,,,
PAMPERS MINI,,,,,,,,,,,,,,,,,,,,,
PHONIX DIAPERS H/C,,,,,,,,,,,,,,,,,,,,,
SNAGGY MAX,,,,,,,,,,,,,,,,,,,,,
SNAGGY MID,,,,,,,,,,,,,,,,,,,,,
SNAGGY MINI,,,,,,,,,,,,,,,,,,,,,
SOFY PADS,,,,,,,,,,,,,,,,,,,,,
STAY FREE,,,,,,,,,,,,,,,,,,,,,
SUNNY GIRL,,,,,,,,,,,,,,,,,,,,,
TED/JERRY MAXI,,,,,,,,,,,,,,,,,,,,,
TED/JERRY MIDI,,,,,,,,,,,,,,,,,,,,,
TED/JERRY MINI,,,,,,,,,,,,,,,,,,,,,
ZANEAL ASSORTED,,,,,,,,,,,,,,,,,,,,,
ZANEAL H/C,,,,,,,,,,,,,,,,,,,,,
ZANEAL L/C,,,,,,,,,,,,,,,,,,,,,
ROSSY SERVIETS,,,,,,,,,,,,,,,,,,,,,
HANAN COTTON BUDS,,,,,,,,,,,,,,,,,,,,,
HANAN SERVIETS,,,,,,,,,,,,,,,,,,,,,
HANAN POCKET WIPES,,,,,,,,,,,,,,,,,,,,,
DETTOL SOAP 60G,,,,,,,,,,,,,,,,,,,,,
DETTOL SOAP  90G,,,,,,,,,,,,,,,,,,,,,
DETTOL LIQ  50M,,,,,,,,,,,,,,,,,,,,,
DETTOL LIQ  125ML,,,,,,,,,,,,,,,,,,,,,
SALVLON 75ML,,,,,,,,,,,,,,,,,,,,,